scene name,JACK,ALGERNON,GWENDOLEN,LANE,LORD BRACKNELL,MISS PRISM,CECILY,CHASUBLE,MERRIMAN,TOTAL
Scène I-1,0,1044,0,364,0,0,0,0,0,1408
Scène I-2,1161,1928,0,12,0,0,0,0,0,3101
Scène I-3,2868,4491,0,26,0,0,0,0,0,7385
Scène I-4,35,1061,232,108,2252,0,0,0,0,3688
Scène I-5,1130,0,2562,0,540,0,0,0,0,4232
Scène I-6,1736,0,0,0,3481,0,0,0,0,5217
Scène I-7,2399,2216,1244,132,0,0,0,0,0,5991
Scène II-1,0,0,0,0,0,2098,1833,678,210,4819
Scène II-2,0,1306,0,0,0,0,1676,0,0,2982
Scène II-3,1100,0,0,0,0,1288,504,2454,0,5346
Scène II-4,1102,1145,0,0,0,60,585,165,295,3352
Scène II-5,0,2136,0,0,0,0,3935,0,299,6370
Scène II-6,0,0,0,0,0,2098,1833,678,210,4819
TOTAL,11531,15327,4038,642,6273,5544,10366,3975,1014,58710
