scene name,JACK,ALGERNON,GWENDOLEN,LANE,LORD BRACKNELL,MISS PRISM,CECILY,CHASUBLE,MERRIMAN,TOTAL
Scène I-1,0,232,0,92,0,0,0,0,0,324
Scène I-2,264,471,0,2,0,0,0,0,0,737
Scène I-3,720,1115,0,5,0,0,0,0,0,1840
Scène I-4,7,248,58,26,543,0,0,0,0,882
Scène I-5,258,0,619,0,126,0,0,0,0,1003
Scène I-6,438,0,0,0,807,0,0,0,0,1245
Scène I-7,577,553,282,26,0,0,0,0,0,1438
Scène II-1,0,0,0,0,0,471,447,154,52,1124
Scène II-2,0,315,0,0,0,0,411,0,0,726
Scène II-3,282,0,0,0,0,280,133,554,0,1249
Scène II-4,270,280,0,0,0,11,141,35,67,804
Scène II-5,0,496,0,0,0,0,898,0,61,1455
Scène II-6,0,0,0,0,0,471,447,154,52,1124
TOTAL,2816,3710,959,151,1476,1233,2477,897,232,13951
